Tag  	Molecule                                     	Date           	Cat Link                                 Metadata Link                           
062523	gauche-C2H5SH                                	September 2015 	/site/vorhersagen/catalog/c062523.cat    /cgi-bin/cdmsinfo?file=e062523.cat      
062524	anti-C2H5SH                                  	September 2015 	/site/vorhersagen/catalog/c062524.cat    /cgi-bin/cdmsinfo?file=e062524.cat      
064517	gauche-C2H534SH                              	September 2015 	/site/vorhersagen/catalog/c064517.cat    /cgi-bin/cdmsinfo?file=e064517.cat      
047515	a-CH3CH2OD                                   	August 2015    	/site/vorhersagen/catalog/c047515.cat    /cgi-bin/cdmsinfo?file=e047515.cat      
047516	a-CH3CHDOH                                   	August 2015    	/site/vorhersagen/catalog/c047516.cat    /cgi-bin/cdmsinfo?file=e047516.cat      
047517	a-a-CH2DCH2OH                                	August 2015    	/site/vorhersagen/catalog/c047517.cat    /cgi-bin/cdmsinfo?file=e047517.cat      
047518	a-s-CH2DCH2OH                                	August 2015    	/site/vorhersagen/catalog/c047518.cat    /cgi-bin/cdmsinfo?file=e047518.cat      
061516	CH2(OD)CHO                                   	August 2015    	/site/vorhersagen/catalog/c061516.cat    /cgi-bin/cdmsinfo?file=e061516.cat      
061517	CHD(OH)CHO                                   	August 2015    	/site/vorhersagen/catalog/c061517.cat    /cgi-bin/cdmsinfo?file=e061517.cat      
061518	CH2(OH)CDO                                   	August 2015    	/site/vorhersagen/catalog/c061518.cat    /cgi-bin/cdmsinfo?file=e061518.cat      
053519	NCCNH+                                       	July 2015      	/site/vorhersagen/catalog/c053519.cat    /cgi-bin/cdmsinfo?file=e053519.cat      
054515	NCCND+                                       	July 2015      	/site/vorhersagen/catalog/c054515.cat    /cgi-bin/cdmsinfo?file=e054515.cat      
054516	NC13CNH+                                     	July 2015      	/site/vorhersagen/catalog/c054516.cat    /cgi-bin/cdmsinfo?file=e054516.cat      
054517	N13CCNH+                                     	July 2015      	/site/vorhersagen/catalog/c054517.cat    /cgi-bin/cdmsinfo?file=e054517.cat      
054518	CH2CHCNH+                                    	July 2015      	/site/vorhersagen/catalog/c054518.cat    /cgi-bin/cdmsinfo?file=e054518.cat      
067505	HCCNSi                                       	July 2015      	/site/vorhersagen/catalog/c067505.cat    /cgi-bin/cdmsinfo?file=e067505.cat      
068509	NCNSi                                        	July 2015      	/site/vorhersagen/catalog/c068509.cat    /cgi-bin/cdmsinfo?file=e068509.cat      
013502	CH                                           	June 2015      	/site/vorhersagen/catalog/c013502.cat    /cgi-bin/cdmsinfo?file=e013502.cat      
057504	PCN                                          	June 2015      	/site/vorhersagen/catalog/c057504.cat    /cgi-bin/cdmsinfo?file=e057504.cat      
059509	H2PCN                                        	June 2015      	/site/vorhersagen/catalog/c059509.cat    /cgi-bin/cdmsinfo?file=e059509.cat      
068508	Si2C, v = 0                                  	June 2015      	/site/vorhersagen/catalog/c068508.cat    /cgi-bin/cdmsinfo?file=e068508.cat      
061505	C5H                                          	May 2015       	/site/vorhersagen/catalog/c061505.cat    /cgi-bin/cdmsinfo?file=e061505.cat      
061515	CH3O13CHO, vt = 0, 1                         	May 2015       	/site/vorhersagen/catalog/c061515.cat    /cgi-bin/cdmsinfo?file=e061515.cat      
062517	C413CH                                       	May 2015       	/site/vorhersagen/catalog/c062517.cat    /cgi-bin/cdmsinfo?file=e062517.cat      
062518	C313CCH                                      	May 2015       	/site/vorhersagen/catalog/c062518.cat    /cgi-bin/cdmsinfo?file=e062518.cat      
062519	C213CC2H                                     	May 2015       	/site/vorhersagen/catalog/c062519.cat    /cgi-bin/cdmsinfo?file=e062519.cat      
062520	C13CC3H                                      	May 2015       	/site/vorhersagen/catalog/c062520.cat    /cgi-bin/cdmsinfo?file=e062520.cat      
062521	13CC4H                                       	May 2015       	/site/vorhersagen/catalog/c062521.cat    /cgi-bin/cdmsinfo?file=e062521.cat      
062522	C5D                                          	May 2015       	/site/vorhersagen/catalog/c062522.cat    /cgi-bin/cdmsinfo?file=e062522.cat      
033508	SH, v = 0                                    	March 2015     	/site/vorhersagen/catalog/c033508.cat    /cgi-bin/cdmsinfo?file=e033508.cat      
033509	SH, v = 1                                    	March 2015     	/site/vorhersagen/catalog/c033509.cat    /cgi-bin/cdmsinfo?file=e033509.cat      
